composite_key,q_id,region,state,county,utility,developer,fuel_bucketed,mw_total,q_year,viability,confidence
1277_CAISO_CA_2016.0,1277,CAISO,CA,Alameda,PGAE,,Wind,114.0,2016.0,0.06890131,unvalidated
1275_CAISO_CA_2016.0,1275,CAISO,CA,Alameda,PGAE,,Battery,418.0,2016.0,0.06890131,unvalidated
1270_CAISO_CA_2016.0,1270,CAISO,CA,Solano,PGAE,,Battery,313.5,2016.0,0.06890131,unvalidated
1260_CAISO_CA_2016.0,1260,CAISO,CA,Kern,PGAE,,Solar,102.0,2016.0,0.06890131,unvalidated
IA-PNM-2016-02_West_NM_2016.0,IA-PNM-2016-02,West,NM,Torrance,Public Service Company of New Mexico,Pattern Energy Wind Development,Wind,402.0,2016.0,0.06890131,validated
AG1-410_PJM_OH_2020.0,AG1-410,PJM,OH,Van Wert,AEP,,Solar,300.0,2020.0,0.06890131,validated
954798_Southeast_NC_2024.0,954798,Southeast,NC,Cumberland,Duke Energy Progress,,Solar,31.55,2024.0,0.06890131,validated
628_Southeast_KY_2024.0,628,Southeast,KY,Todd,Tennessee Valley Authority,,Gas,1600.0,2024.0,0.06890131,validated
C2-156_West_OR_2022.0,C2-156,West,OR,Linn,PacifiCorp,,Solar+Battery,175.0,2022.0,0.06890131,validated
C2-170_West_OR_2022.0,C2-170,West,OR,Lake,PacifiCorp,,Battery,199.0,2022.0,0.06890131,validated
657_West_ID_2022.0,657,West,ID,Ada,Idaho Power Company,Kuna BESS LLC,Battery,150.0,2022.0,0.06890131,validated
C2-79_West_OR_2022.0,C2-79,West,OR,Linn,PacifiCorp,,Battery,145.0,2022.0,0.06890131,validated
C2-110_West_UT_2022.0,C2-110,West,UT,Utah,PacifiCorp,,Battery,199.0,2022.0,0.06890131,validated
C2-109_West_UT_2022.0,C2-109,West,UT,Utah,PacifiCorp,,Battery,199.0,2022.0,0.06890131,validated
C2-106_West_WY_2022.0,C2-106,West,WY,Lincoln,PacifiCorp,,Wind,400.0,2022.0,0.06890131,validated
88_West_MT_2020.0,88,West,MT,Wheatland,Puget Sound Energy,,Wind,750.0,2020.0,0.06890131,validated
IA-PNM-2023-21_West_NM_2023.0,IA-PNM-2023-21,West,NM,San Juan,Public Service Company of New Mexico,,Solar+Battery,500.0,2023.0,0.06890131,validated
IA-PNM-2023-20_West_NM_2023.0,IA-PNM-2023-20,West,NM,San Juan,Public Service Company of New Mexico,,Solar+Battery,500.0,2023.0,0.06890131,validated
920651_Southeast_SC_2023.0,920651,Southeast,SC,Darlington,Duke Energy Progress,,Solar,70.0,2023.0,0.06890131,validated
920659_Southeast_NC_2023.0,920659,Southeast,NC,Wayne,Duke Energy Progress,,Solar,67.0,2023.0,0.06890131,validated
920663_Southeast_NC_2023.0,920663,Southeast,NC,Randolph,Duke Energy Progress,,Solar,44.0,2023.0,0.06890131,validated
IA-PNM-2023-16_West_NM_2023.0,IA-PNM-2023-16,West,NM,Roosevelt,Public Service Company of New Mexico,,Solar,199.0,2023.0,0.06890131,validated
919393_Southeast_NC_2023.0,919393,Southeast,NC,Wake,Duke Energy Progress,"Duke Energy Progress, LLC",Solar,100.0,2023.0,0.06890131,validated
IA-PNM-2023-18_West_NM_2023.0,IA-PNM-2023-18,West,NM,Valencia,Public Service Company of New Mexico,,Battery,150.0,2023.0,0.06890131,validated
GI-186_Southeast_GA_2023.0,GI-186,Southeast,GA,Bacon,Georgia Transmission,,Solar,100.0,2023.0,0.06890131,validated
GI-185_Southeast_GA_2023.0,GI-185,Southeast,GA,Bacon,Georgia Transmission,,Solar,115.0,2023.0,0.06890131,validated
